module Base
{
    item HK416
    {
// MuzzleFlashModelKey          = muzzle_flash_assault_rifle,
        AimingPerkCritModifier       = 33,
        AimingPerkHitChanceModifier  = 15,
        AimingPerkMinAngleModifier   = 0.01,
        AimingPerkRangeModifier      = 2,
        Aimingtime                   = 32,
        AimReleaseSound              = M16AimRelease,
        AmmoBox                      = Base.556Box,
        AmmoType                     = Base.556Bullets,
        AttachmentType               = Rifle,
        BreakSound                   = M16Break,
        BringToBearSound             = M16BringToBear,
        ClickSound                   = M16Jam,
        ConditionLowerChanceOneIn    = 60,
        ConditionMax                 = 10,
        CritDmgMultiplier            = 3,
        CriticalChance               = 30,
        CyclicRateMultiplier         = 1.1,
        DisplayCategory              = Weapon,
        DisplayName                  = HK-416 Assault Rifle,
        DoorDamage                   = 20,
        DropSound                    = M16Drop,
        EjectAmmoSound               = M16EjectAmmo,
        EjectAmmoStartSound          = M16EjectAmmoStart,
        EjectAmmoStopSound           = M16EjectAmmoStop,
        EquipSound                   = M16Equip,
        FireMode                     = Auto,
        FireModePossibilities        = Auto/Single,
        HitChance                    = 45,
        HitSound                     = BulletHitBody,
        Icon                         = 416,
        IdleAnim                     = Idle_Weapon2,
        ImpactSound                  = null,
        InsertAmmoSound              = M16InsertAmmo,
        InsertAmmoStartSound         = M16InsertAmmoStart,
        InsertAmmoStopSound          = M16InsertAmmoStop,
        IsAimedFirearm               = true,
        JamGunChance                 = 2,
        KnockBackOnNoDeath           = true,
        KnockdownMod                 = 0,
        MagazineType                 = Base.556Clip,
        MaxAmmo                      = 30,
        MaxDamage                    = 2,
        MaxHitcount                  = 1,
        MaxRange                     = 20,
        MaxSightRange                = 10.0,
        MetalValue                   = 45,
        MinAngle                     = 0.965,
        MinDamage                    = 1.8,
        MinimumSwingtime             = 0.5,
        MinRange                     = 0.61,
        ModelWeaponPart              = Coupled556 Coupled556 coupled556 coupled556,
        ModelWeaponPart              = IronSight IronSight scope2 scope2,
        ModelWeaponPart              = Laser Laser laser laser,
        ModelWeaponPart              = LaserOn LaserOn laser laser,
        ModelWeaponPart              = RecoilPad RecoilPad recoilpad recoilpad,
        ModelWeaponPart              = Bipod Bipod bipod bipod,
        ModelWeaponPart              = RedDot RedDot reddot reddot,
        ModelWeaponPart              = x2Scope x2Scope scope scope,
        ModelWeaponPart              = x4Scope x4Scope scope scope,
        ModelWeaponPart              = x8Scope x8Scope scope scope,
        ModelWeaponPart              = MagazineAttachment 416_Magazine magazine magazine,
        MultipleHitConditionAffected = false,
        NPCSoundBoost                = 1.5,
        PiercingBullets              = true,
        Projectilecount              = 1,
        PushBackMod                  = 0.3,
        RackSound                    = M16Rack,
        Ranged                       = true,
        RecoilDelay                  = 15,
        Reloadtime                   = 25,
        RequiresEquippedBothHands    = true,
        RunAnim                      = Run_Weapon2,
        ShellFallSound               = M16CartridgeFall,
        SoundGain                    = 2,
        SoundRadius                  = 74,
        SoundVolume                  = 75,
        SplatBloodOnNoDeath          = true,
        SplatNumber                  = 3,
        SplatSize                    = 3,
        StopPower                    = 2,
        SubCategory                  = Firearm,
        SwingAmountBeforeImpact      = 0,
        SwingAnim                    = Rifle,
        SwingSound                   = M16Shoot,
        Swingtime                    = 0.5,
        Tags                         = HasMetal;Firearm,
        ToHitModifier                = 1.5,
        TwoHandWeapon                = true,
        Type                         = Weapon,
        UnequipSound                 = M16UnEquip,
        UseEndurance                 = false,
        WeaponReloadType             = boltaction,
        WeaponSprite                 = HK416,
        Weight                       = 3.8,
    }
}
